tmdbId,title,avg_rating,rating_count,score
278,The Shawshank Redemption,4.487138263665595,311,4.408837705344347
238,The Godfather,4.4875,200,4.371363728358356
629,The Usual Suspects,4.370646766169155,201,4.270188993603559
240,The Godfather: Part II,4.385185185185185,135,4.241900954681346
424,Schindler's List,4.30327868852459,244,4.225962253731467
680,Pulp Fiction,4.256172839506172,324,4.200321066447519
11,Star Wars,4.221649484536083,291,4.16328242218823
1891,The Empire Strikes Back,4.232905982905983,234,4.160657793645537
14,American Beauty,4.236363636363636,220,4.159654630089688
510,One Flew Over the Cuckoo's Nest,4.256944444444445,144,4.143181939784034
603,The Matrix,4.183397683397684,259,4.12253860734402
85,Raiders of the Lost Ark,4.193181818181818,220,4.1216546300896875
762,Monty Python and the Holy Grail,4.224137931034483,145,4.1166494715566975
2493,The Princess Bride,4.208588957055214,163,4.1135422669555535
77,Memento,4.2272727272727275,132,4.110578132854457
155,The Dark Knight,4.235537190082645,121,4.108699718691536
120,The Lord of the Rings: The Fellowship of the Ring,4.1825,200,4.1061463370540086
289,Casablanca,4.235042735042735,117,4.104854813077701
550,Fight Club,4.178217821782178,202,4.10307611001044
389,12 Angry Men,4.304054054054054,74,4.100131322330981
